,NDVI,EVI,SolarZenith,longitude,latitude,date
371,5833.0,3467.0,3413.0,-120.59388888,37.445,2010-08-24
372,4339.0,3113.0,2189.0,-120.39694444,37.25111111,2010-06-30
373,5058.0,3367.0,2012.0,-120.63611111,37.01111111,2010-07-01
374,3333.0,2277.0,2032.0,-120.87611111,37.075,2010-07-01
375,3193.0,2258.0,1970.0,-120.01888888,36.94305555,2010-07-02
376,4563.0,3181.0,2188.0,-120.37888888,37.25111111,2010-07-02
377,4223.0,2808.0,2006.0,-120.43694444,37.08388888,2010-07-02
378,3604.0,2420.0,1973.0,-120.06805555,36.95305555,2010-07-03
379,4220.0,2639.0,2210.0,-120.45305555,37.51611111,2010-07-03
380,4633.0,3380.0,1979.0,-120.06805555,37.025,2010-07-04
